Mean Probability,Standard Deviation
0.6383402,0.45179656
0.6383429,0.45138618
0.6539028,0.4625421
0.2938652,0.37103978
0.33257103,0.47032645
0.5962291,0.43014085
0.64922297,0.4590763
0.6609106,0.41677362
0.65650356,0.46423328
0.6487667,0.45899037
0.66287255,0.468736
0.5439876,0.4074866
0.66066283,0.46717277
0.6291864,0.4466041
0.3863128,0.36291403
0.6624477,0.46843782
0.6307292,0.4473715
0.41348445,0.42507315
0.7568986,0.2874026
0.33610985,0.467008
0.74064606,0.33821896
0.64245397,0.45429698
0.6565624,0.46430123
0.65734464,0.46492937
0.6433186,0.4553359
0.6591375,0.46614474
0.65536064,0.4634146
